Show Number, Air Date, Category, Value, Question, Answer
3657,2000-06-27,"ODD JOBS","None","Among men in this occupation, King Henry VIII's was Will Somers & King Arthur's was Dagonet","Court jester"
3106,1998-02-16,"POPULAR FICTION","None","In 1996 Raymond Benson took over a book series from John Gardner, who had taken over from this 1st author","Ian Fleming"
3316,1999-01-25,"CRIME WRITERS","None","1 of the 2 female crime writers who were in the British House of Lords in 1998","P.D. James or Ruth Rendell"
902,1988-07-05,"CIVIL WAR","None","1 of 2 states represented in the 13 stars on the Confederate flag even though they stayed in the Union","(1 of) Missouri & Kentucky"
5350,2007-12-07,"MOTOWN SINGERS","None","He added an ""E"" to his last name to avoid being teased","Marvin Gaye"
4989,2006-04-27,"WOMEN IN HISTORY","None","In an 1863 essay Harriet Beecher Stowe called this woman whom she had met with ""The Libyan Sibyl""","Sojourner Truth"
5078,2006-10-11,"CHARACTERS IN SHAKESPEARE","None","In Act I he says, ""The funeral baked meats did coldly furnish forth the marriage tables""","Hamlet"
5864,2010-02-25,"SCIENTIFIC MNEMONICS","None","""Kings play chess on finely grained sand"" is a mnemonic device used to help remember a system devised by this scientist","Carolus Linnaeus"
4316,2003-05-12,"MOVIE INDUSTRY HISTORY","None","The company that produced most of Marion Davies' films was named for this magazine; the same person owned both","Cosmopolitan"
3460,1999-09-24,"OLYMPICS 2000","None","Name of the new Olympic event that will cover a total of 51.5 kilometers","Triathlon"
68,1984-12-12,"FLAGS","None","Country whose flag includes pictures of the British & Dutch flags","South Africa"
3271,1998-11-23,"FAMOUS NAMES","None","In a 15-minute-long ceremony, his New York townhouse was designated a ""Cultural Landmark"" in 1998","Andy Warhol"
3249,1998-10-22,"THE 17th CENTURY","None","The 1648 Peace of Westphalia ended a war that began on May 23 of this year","1618 (when The Thirty Years' War began)"
4692,2005-01-18,"BRANDS","None","This brand's airtight seal, introduced in 1946, was patterned after the inverted rim of a paint can","Tupperware"
5379,2008-01-17,"THE SUPREME COURT","None","Britannica said the court's ruling in his case ""seemed a mortal blow to the newly created Republican Party""","Dred Scott"
3230,1998-09-25,"PEOPLE IN POLITICS","None","A former gov. & presidential candidate & now mayor-elect, in 1998 he quit the ""corrupted"" Democratic party","Jerry Brown"
2150,1993-12-31,"POLITICIANS","None","Elected to the House of Representatives in 1966, he was the first Republican to represent Houston","George Bush"
4533,2004-04-28,"'80s FILMS","None","The first film rated PG-13, its colorful title was used as the code name for a 2003 capture mission in Iraq","Red Dawn"
4397,2003-10-21,"IN THE MEDICINE CABINET","None","This product's website features chemistry experiments like ""The Effect of Temperature on Rate of Reaction""","Alka-Seltzer"
3318,1999-01-27,"VITAMINS & MINERALS","None","The Centers for Disease Control & Prevention says it's the nutrient Americans are most likely to be deficient in","Iron (Iron-deficient anemia)"
3522,1999-12-21,"1999 TELEVISION","None","The final episode of this sitcom was called ""The Final Frontier""","Mad About You"
2932,1997-05-06,"THE 7 ANCIENT WONDERS","None","These 2 oldest wonders were built by non-Greek civilizations","Hanging Gardens of Babylon & the Pyramids of Egypt"
6298,2012-01-25,"INTERNATIONAL SPORTS STARS","None","In 2002 his No. 10 jersey from the 1970 World Cup finals sold at auction for a record $220,850","Pelé"
3418,1999-06-16,"FAMOUS WOMEN","None","During WWI this American showed off her talents in a play called ""The Western Girl""","Annie Oakley"
3387,1999-05-04,"HISTORIC GEOGRAPHY","None","Named for its shape, this region stretches NW from the Persian Gulf, W. to Syria, then S. through Palestine","Fertile Crescent"
4731,2005-03-14,"THE 20th CENTURY","None","To allow people to communicate more quickly, on May 15, 1918, courtesy of the U.S. Army, this service began","air mail"
3839,2001-04-19,"U.S. CITIES","None","On May 24, 1844 Samuel Morse was in this city demonstrating his invention","Washington, D.C."
3037,1997-11-11,"18th CENTURY IN THE NEWS","None","On Dec. 17, 1773 342 chests of this were in the news","Tea (the Boston Tea Party took place)"
6032,2010-11-30,"SPORTS","None","In action since 1917, this sports franchise is now largely owned by the Ontario Teachers' Pension Plan","Toronto Maple Leafs"
3664,2000-07-06,"ACADEMY AWARD HISTORY","None","The first African-American Best Actress nominee, her life was the subject of a 1999 HBO film","Dorothy Dandridge"
3366,1999-04-05,"ANIMALS","None","There are only 3 of these animals in U.S. zoos: a 28-year-old in D.C.'s National Zoo & 2 younger ones in San Diego","pandas"
6249,2011-11-17,"HISTORIC DOCUMENTS","None","It's the shorter, better-known name of the document ""United States-Vietnam Relations, 1945-1967""","the Pentagon Papers"
3503,1999-11-24,"PUBLICATIONS","None","Its first issue was intended to be read on sabbath day, August 5, 1821","The Saturday Evening Post"
5428,2008-03-26,"THE ACADEMY AWARDS","None","In 1954 he won a record 4 Oscars, including one for ""Best Documentary Feature"" for a film set in the American desert","Walt Disney"
5613,2009-01-21,"PLAYS OF THE 1980s","None","This Pulitzer Prize-winning play was inspired by the writer's own experiences selling real estate in Chicago","Glengarry Glen Ross"
2123,1993-11-24,"NONFICTION","None","His autobiography was the bestselling hardcover book of the 1980s","Lee Iacocca"
5776,2009-10-26,"GODDESSES","None","Hera sent a gadfly to torment this 2-letter goddess, who later escaped to Egypt across a sea since named for her","Io"
5368,2008-01-02,"THE BOX OFFICE","None","Rated ""R"" for violence, this 2004 film set in ancient times is the highest-grossing ""R"" movie ever in the U.S.","The Passion of the Christ"
5156,2007-01-29,"AMERICAN PLAYS","None","This drama is set at a summer home in August 1912; Act 1 takes place at 8:30 A.M.; Act 4 is 15 1/2 hours later, at midnight","A Long Day's Journey into Night (by Eugene O'Neill)"
4941,2006-02-20,"WORLD LEADERS","None","The first prime minister of his country to be born in that land, he was assassinated in 1995","Yitzhak Rabin"
4102,2002-06-04,"ORGANIZATIONS","None","""Music Man"" composer Meredith Willson wrote the song ""Banners And Bonnets"" for this organization","the Salvation Army"
3293,1998-12-23,"FOOD & DRINK","None","This coffee brand was so named because its creator served it only once a year at a yuletide dinner party","Yuban"
3819,2001-03-22,"CAMPAIGN SLOGANS","None","This 4-word slogan was also the name of a refreshing egg & fruit juice drink served at the 1924 GOP convention","\""Keep Cool With Coolidge\"""
3352,1999-03-16,"SINGERS & THEIR MUSIC","None","6 of his albums landed on Billboard's Top Pop Catalog Chart for May 30, 1998, including 3 in the Top 10","Frank Sinatra"
5455,2008-05-02,"ANCIENT HISTORY","None","Circled 7 times by the Israelites in Joshua, it's said to be the world's oldest walled city","Jericho"
5410,2008-02-29,"NAME'S ALMOST THE SAME","None","This 900-mile Eastern European mountain range shares most of its name with a ship famous for its April 1912 actions","the Carpathian Mountains"
5641,2009-03-02,"FIRST NAMES","None","This first name of a patron saint of a country comes from a Roman word referring to a social class","Patrick"
3348,1999-03-10,"BROADWAY MUSICALS","None","1960 musical that contains the line: ""Your table is cracking...can you hear the timbers split?""","\""Camelot\"""
3159,1998-04-30,"THE 1998 TOURNAMENT OF ROSES PARADE","None","In the parade line-up, this company's float was 57th","H.J. Heinz"
5843,2010-01-27,"THE 1960s","None","In 1962 the people of Perth, Australia saluted this American by turning their lights on & off at the same time","John Glenn"
6133,2011-04-20,"HISTORIC AMERICANS","None","Sharing his first name with the man who took this 1850s photo, he's the diplomat & officer seen <a href=""http://www.j-archive.com/media/2011-04-20_FJ.jpg"" target=""_blank"">here</a>","Matthew Perry"
5208,2007-04-11,"THE GREEK ALPHABET","None","Of the 24 letters of the Greek alphabet, it's the only one that ends in an English letter that none of the others does","Rho"
4729,2005-03-10,"ANCIENT WRITERS","None","Born in 43 B.C., his most famous work begins, ""My intention is to tell of bodies changed to different forms""","Ovid (in Metamorphoses)"
5873,2010-03-10,"U.S. PLACES IN LITERATURE","None","This fishing port is the setting for Kipling's ""Captains Courageous"" & the wreck of the Hesperus was nearby","Gloucester, Massachusetts"
3831,2001-04-09,"19th CENTURY BUSINESSMEN","None","In 1859 he was knighted for offering his ships for service in the Crimean War","Sir Samuel Cunard"
2842,1996-12-31,"THE DEMOCRATIC NATIONAL CONVENTION","None","Arrested twice at the 1968 convention for demonstrating, he was a delegate to the 1996 convention","Tom Hayden"
3897,2001-07-10,"ORGANIZATIONS","None","""A Simple, Decent Place to Live"" is Millard Fuller's book about the history of this organization","Habitat For Humanity"
6224,2011-10-13,"THE OSCARS","None","This performer is the only person to win Oscars for acting & also songwriting","Barbra Streisand"
3347,1999-03-09,"20th CENTURY AMERICANS","None","Adela Rogers St. Johns, who was hired by this man in 1913, reported on his granddaughter's trial in 1976","William Randolph Hearst"
3806,2001-03-05,"WORLD DRAMA","None","In its first U.S. performance in English, this play was billed as ""The Child Wife"" in 1882","\""A Doll's House\"" (by Ibsen)"
4739,2005-03-24,"HARVARD MEN","None","Books by this alumnus include 1957's ""Nuclear Weapons and Foreign Policy"" & 1994's ""Diplomacy""","Henry Kissinger"
5479,2008-06-05,"THE GREAT CHEFS OF EUROPE","None","Living from 1846 to 1935, this celebrated Frenchman was known as ""the king of chefs and the chef of kings""","Georges Auguste Escoffier"
4723,2005-03-02,"DETECTIVE FICTION","None","""Grand Master Villiers de l'Isle d'Adam had"" this made ""by Turkish slaves in the castle of St. Angelo""","the Maltese Falcon"
2918,1997-04-16,"AIRPORTS","None","It's the site of a presidential swearing-in & the headquarters of Southwest Airlines","Love Field (in Dallas)"
4778,2005-05-18,"WORDS FROM LATIN","None","Some of the periods of time called this occurred in 304 A.D. (4 years), 1314 (2 years), 1958 (19 days), 1963 & 2005","interregnum"
3297,1998-12-29,"CHRISTMAS TRADITIONS","None","It's believed this saint began the custom of the nativity scene in 1223, using real people & animals","Saint Francis of Assisi"
3261,1998-11-09,"WORLD CAPITALS","None","This city was once known as Dong Kinh & to Europeans as Tonquin","Hanoi, Vietnam"
5136,2007-01-01,"WRITERS","None","A memorial window near his grave at Winchester Cathedral was a gift from the fishermen of England & America","Izaak Walton (author of The Compleat Angler)"
3350,1999-03-12,"MOVIE QUOTES","None","First uttered in 1962, this 3-word self-introduction tops Guinness' list of the most famous movie quotes ever","\""Bond, James Bond\"""
2121,1993-11-22,"MONEY","None","On July 27, 1971 Richard Nixon gave her the first of the new U.S. dollar coins","Mamie Eisenhower"
5293,2007-09-19,"19th CENTURY INVENTIONS","None","One description of it said its ""spokes look like cobwebs; they are after the fashion of those on the newest...bicycles""","the Ferris Wheel"
6097,2011-03-01,"20th CENTURY AUTHORS","None","A novel set during the Depression earned this author a 1940 Pulitzer Prize & contributed to him winning a Nobel Prize in 1962","John Steinbeck"
4741,2005-03-28,"U.S. PRESIDENTS","None","He's the only U.S. president to serve in the Senate after leaving the White House","Andrew Johnson"
4170,2002-10-18,"U.S. GEOGRAPHY","None","It's the westernmost state to border any of the Great Lakes","Minnesota"
5391,2008-02-04,"BRITISH ACTORS","None","The first man to win Tonys as Best Actor & Best Actor in a Musical, he won for playing a king & a professor","Rex Harrison"
4993,2006-05-03,"PEOPLE IN SPACE","None","In 2005, as the shuttle Discovery prepared for landing, NASA played a Dexys Midnight Runners song in her honor","Eileen Collins"
2627,1996-01-23,"DISNEY FILMS","None","In Spanish-speaking countries, this Disney film is known as ""La Sirenita""","The Little Mermaid"
3701,2000-10-09,"THE 50 STATES","None","The 2 states that named their capitals for Christopher Columbus","Ohio (Columbus) & South Carolina (Columbia)"
2826,1996-12-09,"AMERICAN HISTORY","None","Some attribute these 1692 proceedings to the psychotic effects of ergot poisoning","The Salem Witch Trials"
3803,2001-02-28,"FAMOUS FAMILIES","None","In June 2000 descendants of these 2 families met in Pikeville, KY & in Matewan, WV for their first-ever joint reunion","The Hatfields & the McCoys"
3761,2001-01-01,"CELEBRITY WOMEN","None","She said, ""The reason I'm not a nun is...you can't take your own name...I have the most holy name a woman can have""","Madonna"
2984,1997-07-17,"SCIENTISTS","None","In the 1740s he published ""Flora Suecica"" & ""Fauna Suecica"", 2 volumes of his observations","Carolus Linnaeus"
5165,2007-02-09,"TOURISM","None","The 2 leading foreign destination countries for U.S. tourists","Canada & Mexico"
3090,1998-01-23,"LIBRARIES","None","The millionth visitor to this library received a signed copy of ""My Turn"", some jelly beans & a weekend getaway","The Ronald Reagan Presidential Library"
309,1985-11-14,"U.S. GOVERNMENT","None","Individual receiving 2nd-highest U.S. gov't salary -- $104,700 per year excluding expenses","chief justice"
2890,1997-03-07,"ENTERTAINMENT HISTORY","None","Performed in England since the restoration of Charles II, shows featuring this pair often include a dog named Toby","Punch & Judy"
6047,2010-12-21,"THE 19th CENTURY","None","Thomas Huxley & Samuel Wilberforce were among the Oxford Museum speakers debating this theory June 30, 1860","evolution"
2999,1997-09-18,"FAMOUS NAMES","None","The Washington Post once described him as ""The Mother of All Embarrassing Brothers""","Billy Carter"
3378,1999-04-21,"LANDMARKS","None","In 1913 prima ballerina Ellen Price inspired the look of this famous statue by Edvard Eriksen","the Little Mermaid"
1883,1992-11-11,"VICE PRESIDENTS","None","He served as vice president for the shortest length of time: one month","John Tyler"
6154,2011-05-19,"LONG-RUNNING FILMS","None","Playing in theaters since 1975, this film has had the longest continuous theatrical run in movie history","The Rocky Horror Picture Show"
6220,2011-10-07,"ROYALTY","None","The son of an Oscar winner, this prince is also a 5-time Olympian","Prince Albert"
3342,1999-03-02,"CORPORATE AMERICA","None","This Vermont food company's 1995 CEO search was an essay contest with the topic ""Yo!  I Want to be Your CEO""","Ben & Jerry's"
6119,2011-03-31,"SHAKESPEARE PLAYS","None","One of the 2 plays whose plots are set in motion by shipwrecks, one off Illyria & one off an unnamed island","(1 of) The Tempest & Twelfth Night"
5338,2007-11-21,"19th CENTURY AUTHORS","None","In 1833 a French historian said that this author had built ""a cathedral as solid as the foundations of the other (one)""","Victor Hugo"
5382,2008-01-22,"ADJECTIVES","None","This word meaning ""gruesome"" was inspired by the deaths of the leaders of a Jewish revolt in the 100s B.C.","macabre"
2858,1997-01-22,"THE WESTERN HEMISPHERE","None","This country won independence from Spain in 1821 & from France in 1867","Mexico"
1332,1990-05-22,"AMERICAN LITERATURE","None","Merlin the Magician cast a spell putting this title character to sleep for 1,300 years","A Connecticut Yankee (In King Arthur's Court)"
3847,2001-05-01,"U.S. GOVERNMENT","None","This agency's website for kids includes the games ""Break the Code"", ""Try a Disguise"" & a geography quiz","the CIA (Central Intelligence Agency)"
6117,2011-03-29,"COASTAL STATES","None","With 301 miles, it has the most coastline of current states that were part of the 13 original colonies","North Carolina"
3336,1999-02-22,"WORLD GEOGRAPHY","None","It's the only body of water with shores on the continents of Asia, Africa & Europe","Mediterranean Sea"
3966,2001-11-26,"WORLD CITIES","None","This capital city of 13 million located at 55.5 degrees north latitude is the most populous city in Europe","Moscow"
1327,1990-05-15,"THE NOBEL PRIZE","None","This winner of the 1970 Nobel Literature Prize was born in 1918 into a family of Cossack intellectuals","Aleksandr Solzhenitsyn"
5736,2009-07-13,"AMERICAN HISTORY","None","The area that's now the State of Indiana was acquired in this war","the Revolutionary War"
5895,2010-04-09,"19th CENTURY BRITISH LITERATURE","None","In chapter 10, ""The whole mystery of the handkerchiefs, and the watches, and the jewels... rushed upon"" this title boy's ""mind""","Oliver Twist"
4524,2004-04-15,"20th CENTURY BESTSELLERS","None","First published in 1967, it tells the story of 7 generations of a Colombian family","One Hundred Years of Solitude"
3797,2001-02-20,"U.S. PRESIDENTS","None","2 of 3 presidents who took their oaths of office in New York state","Chester Arthur, Theodore Roosevelt and/or George Washington"
1238,1990-01-10,"PLAYS","None","1949 Pulitzer Prize play in which the title character commits suicide for the insurance money","Death of a Salesman"
4939,2006-02-16,"AMERICAN MUSIC","None","On December 11, 1987, it was designated as the national march of the United States","\""Stars and Stripes Forever\"""
4760,2005-04-22,"NEW LAWS","None","CEOs must personally certify their corporate books following a July 2002 law named for these 2 men","Sen. Paul Sarbanes & Rep. Michael Oxley"
4593,2004-07-21,"SINGERS","None","Her recording career lasted just 8 years, starting in 1955 with ""A Church, A Courtroom And Then Good-Bye""","Patsy Cline"
5219,2007-04-26,"THE OSCARS","None","The 2 men who directed Marlon Brando's Oscar-winning performances","Elia Kazan & Francis Ford Coppola"
2143,1993-12-22,"ORGANIZATIONS","None","This organization was dissolved in 1956 after its last member, Albert Woolson, died at age 109","the Grand Army of the Republic"
6046,2010-12-20,"20th CENTURY NOVELISTS","None","A critic said that a character of his, ""yearning for the moon... never saw the sixpence at his feet""; he made that into a title","Somerset Maugham"
4314,2003-05-08,"NATIONAL STATUARY HALL","None","Both partly of Cherokee descent, they're the 2 men whose statues represent Oklahoma in the U.S. Capitol","Will Rogers & Sequoyah"
4836,2005-09-26,"AFRICA","None","Equatorial Guinea is the only African nation whose offical language is this","Spanish"
3180,1998-05-29,"WORLD LEADERS","None","Name shared by the leaders of 2 nations that remain in a mutual state of war in 1998","Kim (Kim Dae Jung of South Korea & Kim Jong Il of North Korea)"
5937,2010-06-08,"U.S. MILITARY HISTORY","None","This general commanded the first official American force to fight on the European continent","John Pershing"
5640,2009-02-27,"ADVERTISING ICONS","None","On Advertising Age's list of the Top 10 Ad Icons of the 20th c., they're the 2 alliterative entries that end in ""Man""","the Michelin Man & the Marlboro Man"
4452,2004-01-06,"ANIMALS","None","Camelus, the genus name of camels, is also the species name of these birds","ostriches"
3275,1998-11-27,"BASEBALL TEAMS","None","In the early days, this baseball team was known as the Alleghenies","Pittsburgh Pirates"
6263,2011-12-07,"SPORTING EVENTS","None","The cup presented since 1887 to the man who wins this is inscribed ""single handed champion of the world""","Wimbledon (the men's singles championship)"
5656,2009-03-23,"U.S. PRESIDENTS","None","You have to go back over a century to find him, the last president who never had a vice president","Chester Arthur"
2881,1997-02-24,"INVENTIONS","None","Introduced at the 1900 World's Fair in Paris, its name comes from Latin for ""one that takes you up the ladder""","Escalator"
5506,2008-07-14,"MYTHS","None","Seen <a href=""http://www.j-archive.com/media/2008-07-14_FJ.jpg"" target=""_blank"">here</a> with 2 other troubled mythic figures, he's the <a href=""http://www.j-archive.com/media/2008-07-14_FJa.jpg"" target=""_blank"">man on the left</a> who can never quite reach the fruit","Tantalus"
2896,1997-03-17,"JOURNALISTS","None","Before his death in 1920, he led America's Communist Labor Party, drew up its manifesto & edited its paper","John Reed"
4807,2005-06-28,"20th CENTURY AUTHORS","None","In 1956 she published ""Venice Observed"" & her brother Kevin starred in ""Invasion of the Body Snatchers""","Mary McCarthy"
4396,2003-10-20,"ACTORS & HISTORICAL ROLES","None","In the 2002 film ""Frida"", Geoffrey Rush portrayed this European firebrand during his final days","Leon Trotsky"
3073,1997-12-31,"U.S. GOVERNMENT","None","In Spanish this agency is known as ""La Migra""","Immigration & Naturalization Service"
5941,2010-06-14,"MOONS & MYTHOLOGY","None","This planet is named for a Roman god; its only moons are named for the sons of his Greek counterpart","Mars"
3502,1999-11-23,"MONUMENTS","None","Over 90% of the sculpting on Mount Rushmore was done with this","Dynamite"
4151,2002-09-23,"INAUGURAL ADDRESSES","None","A New Deal Democrat in his youth, this president stated, ""Government is not the solution to our problem""","Ronald Reagan"
3055,1997-12-05,"FOOD","None","Campbell Soup launched this flavor in 1990 with a recipe contest bearing President Bush in mind","Cream of Broccoli"
5995,2010-10-08,"BESTSELLING AUTHORS","None","Since coming on the beat, he's had more N.Y. Times bestsellers than any other author, including over 20 in the last 5 years","James Patterson"
4498,2004-03-10,"20th CENTURY WRITERS","None","In the '50s, she taught English at Smith College, then worked as a secretary at a Boston psychiatric clinic","Sylvia Plath"
1320,1990-05-04,"THE SENATE","None","The 2 astronauts who went on to become U.S. Senators","John Glenn (Ohio) & Harrison Schmitt (New Mexico)"
758,1987-12-09,"THE NEW TESTAMENT","None","Never mentioned by name in the Bible, this daughter of Herodias is one of the most famous women in it","Salome"
3100,1998-02-06,"U.S. CITIES","None","This historic city was named for the Bishop of Hippo on whose feast day the area was first sighted","St. Augustine, Florida"
3185,1998-06-05,"ANCIENT GREECE","None","The Greeks had 4 national festivals: the Nemean Games, the Pythian Games, the Isthmian Games & these","the Olympic Games"
5869,2010-03-04,"SENATE COMMITTEES","None","1-word name of the committee that sets the spending priorities that the Finance & Appropriation committees carry out","budget"
5576,2008-12-01,"FRENCH","None","A sequence of 3 vowels creates this common French word, a homophone of a different vowel altogether","eau"
3142,1998-04-07,"CHILDREN'S BOOKS & AUTHORS","None","He also created a 2-letter land called Ix","L. Frank Baum (creator of the Wizard of Oz)"
2873,1997-02-12,"NATIVE AMERICANS","None","A Pennsylvania city, a canal & a Great Lake are named for this tribe","The Erie"
4765,2005-04-29,"19th CENTURY AMERICAN ART","None","Some versions of this painting based on a Bible verse show William Penn making a treaty with the Indians in the background","Hicks's Peaceable Kingdom"
5396,2008-02-11,"THE 50 STATES","None","It's the only state name that when spelled officially contains a diacritical mark","Hawaii"
1426,1990-11-12,"THE COMMON MARKET","None","Only permanent Common Market member whose official language doesn't use the Latin alphabet","Greece"
5674,2009-04-16,"AMERICAN BUSINESS","None","On Sept. 29, 2008 every stock in the S&P 500 dropped except this maker of comforting food, founded in 1869","Campbell's"
6145,2011-05-06,"U.S. LANDMARKS","None","It contains over 5,000 tons of steel, rises 630 feet in the air & is in the shape of an inverted catenary curve","The St. Louis Gateway Arch"
3397,1999-05-18,"TV CHARACTERS","None","The first name of this TV title character whose show debuted in 1998 is a synonym for ""happiness"" or ""good fortune""","Felicity"
5097,2006-11-07,"PRESIDENTIAL DISTINCTIONS","None","Captured as a 14-year-old soldier in 1781, he was the only president who had ever been a prisoner of war","Andrew Jackson"
3380,1999-04-23,"THE NOBEL PRIZE","None","This Peace Prize winner financed his medical studies partly through royalties from his Bach biography","Dr. Albert Schweitzer"
3624,2000-05-11,"U.S. SYMBOLISM","None","By a 1782 resolution, they represent valor; purity & innocence; and vigilance, justice & perseverance","Red, White & Blue"
2910,1997-04-04,"ARTISTS","None","This artist sculpted the famous statuary group that stands in front of the town hall in Calais","Auguste Rodin (\""The Burghers of Calais\"")"
1273,1990-02-28,"WORLD TRADE","None","3 of the 5 founding members of OPEC","Iran, Iraq, Kuwait, Saudi Arabia & Venezuela"
3405,1999-05-28,"'90s TRENDS","None","This adornment has been seen on Cher, Dennis Rodman & the 5,000-year-old ""Iceman"" found in 1991","tattoos"
3675,2000-07-21,"HISTORIC CANADIAN GEOGRAPHY","None","It includes 3 present Atlantic provinces, & in the 18th C. 4,000 inhabitants of it took a long trip southwest","Acadia"
3335,1999-02-19,"U.S. INDUSTRIES","None","Around 1850 it used a fleet of over 700 ships; by 1930 this U.S. industry was practically defunct","Whaling"
3599,2000-04-06,"POLITICIANS","None","Later speaker, he replaced JFK in the U.S. House of Representatives in 1953","Thomas \""Tip\"" O'Neill"
2116,1993-11-15,"LANDMARKS","None","Lord Byron wrote, ""I stood in Venice on"" this, ""a palace and a prison on each hand""","the Bridge of Sighs"
2970,1997-06-27,"RELIGIOUS LEADERS","None","The boyhood home of this church founder still stands on Stafford Road in Palmyra, New York","Joseph Smith (founder of the Mormon Church)"
3555,2000-02-04,"FILMS OF THE '80s","None","The one-word title of this 1985 film refers to Samuel Lapp, a Penn. farm boy who makes his first visit to a city","Witness"
2998,1997-09-17,"1997 FILMS","None","At the end of this 1997 film, the dedication ""For Carl"" appears onscreen","\""Contact\"""
2571,1995-11-06,"BUSINESS & LITERATURE","None","On March 24, 1994 this store held a breakfast to announce the new Truman Capote Literary Trust","Tiffany's"
963,1988-11-09,"FOREIGN PHRASES","None","The Greek expression meaning ""philosophy (is) the guide of life"" is abbreviated by these three Greek letters","phi beta kappa"
3612,2000-04-25,"20th CENTURY HEROES","None","Jean Moulin was one of the chief organizers & martyrs of this movement","French Resistance (Maquis)"
6071,2011-01-24,"19th CENTURY PEOPLE","None","After meeting him, Hawthorne said he had a ""sallow, queer, sagacious visage"" warmed by ""homely human sympathies""","Abraham Lincoln"
4824,2005-07-21,"LITERARY FIREARMS","None","The ""Polizei Pistole Kurz"" model was often used very effectively by this literary character introduced in 1953","James Bond"
3161,1998-05-04,"GREEK MYTHOLOGY","None","Pytho, the site of Apollo's oracle, was renamed this after Apollo appeared disguised as a sea creature","Delphi"
4833,2005-09-21,"NOVELISTS","None","His great-granddad wrote the best-seller ""White Rose of Memphis"", a city 40 miles north of the county in which he was raised","William Faulkner"
3444,1999-07-22,"WORLD LEADERS","None","This country's leaders have included Yusof Bin Ishak, Benjamin Sheares & Lee Kuan Yew","Singapore"
6064,2011-01-13,"LAW","None","In 1790 the USA's 1st law governing this protection gave it a term of 14 years; today it can extend well over a century","copyright"
3483,1999-10-27,"HOCKEY TEAMS","None","This National Hockey League team regularly practices for fans at the world's largest mall","Edmonton Oilers"
965,1988-11-11,"THE SUPREME COURT","None","Only member of the current court who has been elected to a public office","Sandra Day O'Connor (state senator from Arizona)"
3125,1998-03-13,"HOLY DAYS","None","On this day you can hear ""Remember that you are dust and unto dust you shall return"" ritually repeated","Ash Wednesday"
4370,2003-09-12,"ALPHANUMERICS","None","When this American company incorporated in 1902, its first products were grinding abrasives & sandpaper","3M"
1425,1990-11-09,"U.S. POLITICS","None","This city has been the site of more major party presidential nominating conventions than any other","Chicago"
3558,2000-02-09,"CLASSIC TOYS","None","In response to anti-tobacco protests, this toy gave up its attachable pipe in 1987","Mr. Potato Head"
607,1987-04-07,"ISLANDS","None","It's the largest island in the Mediterranean Sea","Sicily"
5456,2008-05-05,"AMERICAN THINKERS","None","""I never found the companion that was so companionable as solitude"", he wrote in a chapter on solitude in an 1854 work","Henry David Thoreau"
3363,1999-03-31,"IN THE NEWS","None","In use from January 1, 1999, it's represented by the symbol seen here","the Euro"
4908,2006-01-04,"NEWER WORDS & PHRASES","None","The Academie Francaise has officially translated it as ""toile d'araignee mondiale""","world wide web"
1240,1990-01-12,"BUSINESS & INDUSTRY","None","The Welch's Company has its corporate headquarters in this Mass. town","Concord"
4744,2005-03-31,"ENGLISH LIT","None","This 17th century poetic follow-up begins, ""I who ere while the happy garden sung, by one man's disobedience lost...""","Paradise Regained"
4904,2005-12-29,"SOVIET HISTORY","None","He died in Moscow September 11, 1971 following nearly 7 years of house arrest","Nikita Khrushchev"
2944,1997-05-22,"MONARCHS","None","Like his grandmother, Mary, Queen of Scots, this king was beheaded","Charles I"
5133,2006-12-27,"19th CENTURY PRESIDENTS","None","Against bitterly divided Democrats, he won with the second-lowest percentage of the popular vote in history, 39.8%","Abraham Lincoln"
4504,2004-03-18,"THE 12th CENTURY","None","This king covered his eyes with his shield so that he would not see the holy city he could not conquer","Richard I (Richard the Lionhearted)"
5299,2007-09-27,"MEN OF MEDICINE","None","After giving birth in Paris, American Marjorie Karmel wrote ""Thank You"" him & co-founded an orgianization now named for him","Fernand Lamaze"
3718,2000-11-01,"MACHINES","None","This brand name comes from machines devised by Benjamin Holt to crawl over soft farmland","Caterpillar"
733,1987-11-11,"PRESIDENTS","None","This consonant begins the last names of five presidents, more than any other letter","H"
6105,2011-03-11,"EUROPEAN CAPITALS","None","Although capital of its country, it is not the capital of the province in which it's located, nor is it the seat of government","Amsterdam"
3117,1998-03-03,"WORLD OF BUSINESS","None","According to McDonald's, it's the only country where their outlets do not sell beef hamburgers","India"
2865,1997-01-31,"THE CABINET","None","1 of 2 women who served in the cabinet for a total of 6 or more years","Elizabeth Dole & Frances Perkins"
4288,2003-04-02,"CANADIAN GEOGRAPHY","None","One of the only 2 Canadian provinces that do not border a saltwater ocean or bay","Alberta or Saskatchewan"
4573,2004-06-23,"FAMOUS AMERICANS","None","In 1826 Daniel Webster eulogized these 2 men, saying, ""They took their flight together to the world of spirits""","Thomas Jefferson & John Adams"
3763,2001-01-03,"BROADWAY MUSICALS","None","In 1949 this Shakespeare-based show won the 1st Tony for Best Musical; in 2000 it won for Best Musical Revival","Kiss Me, Kate"
3395,1999-05-14,"HISTORIC AMERICANS","None","This member of William & Mary's Class of 1762 founded a univ. that opened in 1825, one year before his death","Thomas Jefferson (University of Virginia)"
502,1986-11-11,"U.S. HISTORY","None","Of 9 ""wars"" in which the U.S. has been actively involved, these 2 lasted the longest","Vietnam and the Revolutionary War"
